tablet_num	subject	relation_type	object	subject_tag	object_tag
P136621	lugal	nin	an-sza-an-na-sze3	N	N
P136621	dub-sar	dumu	...	N	PN
P136623	mu	dumu	lugal	N	N
P136630	dub-sar	dumu	ge6-par4-ki-du10	N	PN
P136650	{uruda}alan	dumu	ga	N	N
P136650	{uruda}alan	nin	{uruda}kul	N	N
P136650	{uruda}alan	dumu	ga	N	N
P136651	tul2-ta	dumu	gu3-de2-a	N	PN
P136654	azlag2	dumu	lugal-du11-ga	N	PN
P136660	lugal	dumu	szu-{d}nin-szubur	N	PN
P136663	ku3-{d}nanna	dumu	nimgir-sza3-kusz2	PN	PN
P136664	lugal-in-nu-tuku	dumu	e2-gal-im-x	PN	PN
P136669	ur-{d}ba-ba6	dumu	ma-an-szum2	PN	PN
P136671	ha-bu3	dumu	e2-anzu2{muszen}-ni	PN	PN
P136675	x-{d}nanna	dumu	he2-gal2	PN	V
P136679	dub-sar	dumu	lu2-{d}nin-gir2-su	N	PN
P136680	a-ha-ni-szu	dumu	sa6-ga	PN	PN
P136682	lu2-{d}ka-tar	dumu	na-silim	PN	PN
P136683	lugal-dur2-du10	dumu	sza3-bi	PN	N
P136687	usz-bar	dumu	gu2-|ZI&ZI|-ta	N	PN
P136688	...	dumu	i3-li2-a	PN	PN
P136690	inim-ma-ni-zi	dumu	la-la	PN	PN
P136691	ur-{d}lamma	dumu	lu2-gu-la	RN	PN
P136693	mu	dumu-munus	lugal	N	N
P136695	ur-kisal	dumu	ur-ba-gara2	PN	PN
P136696	mu	dumu-munus	lugal	N	N
P136697	geme2-{d}en-lil2-la2	nin	1(disz)	PN	NU
P136697	tu-ki-in-PA-mi-ig-ri-sza	dumu-munus	lugal	PN	N
P136699	mu	dumu-munus	lugal	N	N
P136702	lu2-{d}nanna	dumu	ur-mes-ta	PN	PN
P136702	ARAD2-{d}nanna	dumu	gal-la-a-ta	PN	PN
P136702	ku3-{d}nanna	dumu	lugal-uszur4-ta	PN	PN
P136702	mu	dumu-munus	lugal	N	N
P136706	dub-sar	dumu	ur-...	N	PN
P136723	nin-e2-gal-sze3	dam	ha-ad-ha-da	N	PN
P136723	|PU3.SZA|-{d}suen	dumu	ur-{d}nun-gal	PN	PN
P137027	{d}szul-gi	dumu	an-na	RN	N
P137037	dub-sar	dumu	ur-si-gar	N	PN
P137038	ba-sa6-ga	dumu	sza3-ga	PN	PN
P137039	ur-{d}ig-alim	dumu	ur-{gesz}tukul	PN	PN
P137041	nam-mah-{d}ba-ba6	dumu	ur-{d}ba-ba6	PN	PN
P137053	lu2-{d}nanna	dumu	ur-sa6-ga-ta	PN	PN
P137075	lu2-{d}en-lil2-la2	dumu	ka-mah-ta	PN	PN
P137096	i3-sa6	dumu	e2-ba	PN	N
P137107	gi	dumu	ge6-par4-ki-du10	N	PN
P137111	dub-sar	dumu	i3-li2-...	N	PN
P137112	dub-sar	dumu	ku3-{d}nin-gal	N	PN
P137113	x-{d}nanna	dumu	x-uszur4-ta	PN	PN
P137115	dub-sar	dumu	ur-zabala{ki}	N	PN
P137118	an-ne2-ti	dumu	ur-{d}utu	PN	PN
P137152	dub-sar	dumu	ug3-IL2	N	PN
P137166	dub-sar	dumu	lugal-a-i3-sa6	N	PN
P137167	an-ne2-ti	dumu	esz2-sar-...	PN	PN
P137168	dub-sar	dumu	ur-sipa-da	N	PN
P137172	dub-sar	dumu	szesz-kal-la	N	PN
P137173	da-da	dumu	nig2-kal-la	PN	PN
P137179	ARAD2-{d}nanna	dumu	lu2-...	PN	PN
P137195	{d}suen-i-ti	dumu	a2-bi2-li2-a	PN	PN
P137198	ur-{d}lugal-banda3{da}	dumu	lu2-{d}nanna-ku3	PN	PN
P137208	dub-sar	dumu	nam-zi-tar-ra	N	PN
P137209	ma-at-ti-i3-li2	dumu	i-la-ak-nu-id	PN	PN
P137220	ur-{d}szul-pa-e3	dumu	lugal-he2-gal2	PN	PN
P137227	dabin	dam	szabra	N	N
P137234	saga	dumu	al-la	V	V
P137242	x-dub-sza3-za	dumu	da-gal	PN	N
P137245	{d}nanna-kam	dumu	ur-sa6-sa6	PN	PN
P137246	lugal-dingir-re-KA	dumu	lugal-uszur4	PN	PN
P137251	i3	dam	ARAD2-{d}nanna	N	PN
P137252	ku3-{d}nanna	dumu	ur-mes	PN	PN
P137252	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137253	ki	nin	giri3	N	N
P137255	...-a-zi-mu2-a	dumu-munus	dumu-ni	PN	N
P137259	NULL	dumu	1(asz)	NULL	NU
P137259	a-ku-um	dumu	ba-la-ad	PN	PN
P137259	...	dumu	nin-x-...	PN	PN
P137261	lu2-me-lam2	dumu	lu2-{d}inanna	PN	PN
P137273	dub-sar	dumu	ARAD2-{d}nanna	N	PN
P137277	dub-sar	dumu	lu2-giri17-zal	N	PN
P137278	a-hu-...	dumu	du-du	PN	PN
P137279	...	dumu	|PU3.SZA|-e2-a	PN	PN
P137279	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137283	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137286	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137287	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
P137288	dub-sar	dumu	lu2-nin-ga2-ka	N	PN
